order_id,order_date,customer_id,segment,region,state,category,sub_category,sales,quantity,discount,profit,profit_margin,calculated_cost_basis
CA-2025-100000,2024-04-12,CS-1029,Consumer,East,Odisha,Furniture,Chairs,3043.36,9,0.0,311.42,10.23,2731.94
CA-2025-100001,2025-03-11,CS-1127,Corporate,South,Telangana,Office Supplies,Art,3220.74,7,0.0,673.49,20.91,2547.25
CA-2025-100002,2024-09-27,CS-1338,Corporate,West,Gujarat,Technology,Phones,744.51,2,0.0,169.28,22.74,575.23
CA-2025-100003,2024-04-16,CS-1010,Consumer,West,Gujarat,Office Supplies,Binders,127.17,5,0.0,10.37,8.15,116.8
CA-2025-100004,2024-03-12,CS-1106,Consumer,East,West Bengal,Office Supplies,Fasteners,479.34,2,0.0,43.06,8.98,436.28
CA-2025-100005,2025-12-01,CS-1167,Consumer,East,Jharkhand,Office Supplies,Fasteners,2387.43,7,0.0,301.94,12.65,2085.49
CA-2025-100006,2024-01-21,CS-1466,Consumer,West,Goa,Office Supplies,Paper,1479.72,9,0.0,223.16,15.08,1256.56
CA-2025-100007,2025-09-06,CS-1257,Consumer,East,Bihar,Technology,Copiers,763.04,4,0.0,119.76,15.7,643.28
CA-2025-100008,2024-05-01,CS-1295,Consumer,South,Kerala,Office Supplies,Fasteners,968.09,3,0.2,123.08,12.71,845.01
CA-2025-100009,2025-04-11,CS-1277,Corporate,North,Punjab,Office Supplies,Fasteners,198.28,6,0.0,33.16,16.72,165.12
CA-2025-100010,2024-08-02,CS-1065,Corporate,East,Jharkhand,Office Supplies,Art,1097.75,8,0.5,216.49,19.72,881.26
CA-2025-100011,2024-11-26,CS-1271,Consumer,West,Rajasthan,Technology,Accessories,1616.81,8,0.5,307.23,19.0,1309.58
CA-2025-100012,2025-04-03,CS-1388,Consumer,North,UP,Office Supplies,Fasteners,3205.86,8,0.0,179.66,5.6,3026.2
CA-2025-100013,2024-03-28,CS-1188,Corporate,South,Kerala,Furniture,Tables,345.41,5,0.0,-96.02,-27.8,441.43
CA-2025-100014,2025-01-07,CS-1317,Home Office,North,Delhi,Furniture,Chairs,2543.9,6,0.0,489.77,19.25,2054.13
CA-2025-100015,2024-04-09,CS-1404,Corporate,West,Maharashtra,Technology,Phones,95.73,2,0.0,8.63,9.01,87.1
CA-2025-100016,2025-10-25,CS-1138,Corporate,North,Punjab,Technology,Accessories,2499.08,6,0.1,426.65,17.07,2072.43
CA-2025-100017,2024-05-10,CS-1343,Consumer,West,Goa,Furniture,Furnishings,289.97,5,0.5,20.93,7.22,269.04
CA-2025-100018,2025-10-23,CS-1105,Consumer,East,Odisha,Technology,Phones,199.4,3,0.0,36.49,18.3,162.91
CA-2025-100019,2024-11-04,CS-1034,Home Office,East,Jharkhand,Office Supplies,Binders,332.91,8,0.1,57.95,17.41,274.96
CA-2025-100020,2026-02-08,CS-1380,Consumer,West,Gujarat,Office Supplies,Binders,356.54,4,0.5,35.01,9.82,321.53
CA-2025-100021,2024-12-09,CS-1110,Home Office,East,Odisha,Furniture,Furnishings,361.6,2,0.0,81.38,22.51,280.22
CA-2025-100022,2025-05-06,CS-1432,Corporate,South,Kerala,Technology,Accessories,723.1,3,0.1,152.8,21.13,570.3
CA-2025-100023,2025-02-17,CS-1033,Corporate,North,Delhi,Furniture,Chairs,738.29,2,0.0,146.03,19.78,592.26
CA-2025-100024,2025-01-20,CS-1354,Consumer,West,Rajasthan,Technology,Phones,519.56,2,0.0,73.73,14.19,445.83
CA-2025-100025,2024-07-10,CS-1231,Corporate,West,Gujarat,Furniture,Tables,1322.15,3,0.1,126.1,9.54,1196.05
CA-2025-100026,2024-10-03,CS-1317,Consumer,West,Rajasthan,Technology,Accessories,791.4,7,0.0,163.37,20.64,628.03
CA-2025-100027,2024-06-09,CS-1266,Consumer,South,Kerala,Furniture,Furnishings,113.17,1,0.0,10.51,9.29,102.66
CA-2025-100028,2025-04-04,CS-1182,Consumer,South,Tamil Nadu,Furniture,Furnishings,2132.51,6,0.0,314.3,14.74,1818.21
CA-2025-100029,2024-11-09,CS-1340,Home Office,South,Kerala,Furniture,Tables,163.95,1,0.0,-35.02,-21.36,198.97
CA-2025-100030,2024-01-22,CS-1065,Corporate,West,Gujarat,Furniture,Chairs,282.26,3,0.0,25.52,9.04,256.74
CA-2025-100031,2024-09-09,CS-1333,Consumer,South,Karnataka,Office Supplies,Art,1593.19,4,0.0,275.51,17.29,1317.68
CA-2025-100032,2026-01-17,CS-1001,Consumer,East,Odisha,Furniture,Tables,966.79,8,0.0,238.23,24.64,728.56
CA-2025-100033,2025-07-14,CS-1133,Corporate,North,Punjab,Technology,Copiers,753.94,2,0.0,109.51,14.53,644.43
CA-2025-100034,2025-04-19,CS-1080,Corporate,East,Odisha,Office Supplies,Art,389.47,7,0.5,58.38,14.99,331.09
CA-2025-100035,2024-02-28,CS-1271,Corporate,East,Jharkhand,Office Supplies,Art,1269.85,3,0.1,158.16,12.46,1111.69
CA-2025-100036,2025-05-25,CS-1241,Corporate,South,Karnataka,Furniture,Furnishings,77.3,1,0.5,7.39,9.56,69.91
CA-2025-100037,2025-11-12,CS-1028,Consumer,West,Goa,Office Supplies,Art,2037.77,6,0.1,217.05,10.65,1820.72
CA-2025-100038,2025-04-20,CS-1223,Corporate,East,Bihar,Furniture,Furnishings,760.15,2,0.1,171.16,22.52,588.99
CA-2025-100039,2025-11-30,CS-1023,Consumer,North,Delhi,Technology,Phones,168.22,3,0.2,40.31,23.96,127.91
CA-2025-100040,2026-02-21,CS-1496,Home Office,South,Tamil Nadu,Office Supplies,Art,260.01,6,0.0,55.97,21.53,204.04
CA-2025-100041,2024-07-08,CS-1109,Corporate,East,Odisha,Technology,Accessories,909.58,3,0.0,50.29,5.53,859.29
CA-2025-100042,2025-11-17,CS-1107,Consumer,South,Tamil Nadu,Office Supplies,Binders,1255.39,5,0.2,215.37,17.16,1040.02
CA-2025-100043,2025-07-16,CS-1145,Consumer,North,Haryana,Technology,Copiers,945.45,3,0.0,151.13,15.98,794.32
CA-2025-100044,2025-07-20,CS-1369,Home Office,South,Telangana,Furniture,Furnishings,1634.67,7,0.0,335.03,20.5,1299.64
CA-2025-100045,2024-08-31,CS-1354,Consumer,West,Gujarat,Furniture,Tables,2948.44,7,0.1,607.71,20.61,2340.73
CA-2025-100046,2025-05-19,CS-1397,Consumer,East,Odisha,Office Supplies,Art,174.56,1,0.5,24.02,13.76,150.54
CA-2025-100047,2024-05-10,CS-1398,Corporate,East,Bihar,Technology,Accessories,250.38,6,0.1,26.92,10.75,223.46
CA-2025-100048,2025-04-29,CS-1139,Consumer,West,Goa,Office Supplies,Binders,1065.57,3,0.1,74.01,6.95,991.56
CA-2025-100049,2025-10-08,CS-1284,Corporate,North,Delhi,Furniture,Chairs,1014.94,7,0.0,174.84,17.23,840.1
CA-2025-100050,2024-01-21,CS-1298,Consumer,North,Delhi,Office Supplies,Paper,364.29,1,0.0,38.15,10.47,326.14
CA-2025-100051,2024-06-15,CS-1480,Corporate,South,Telangana,Technology,Accessories,105.33,3,0.1,25.59,24.3,79.74
CA-2025-100052,2024-09-30,CS-1099,Consumer,East,Bihar,Furniture,Furnishings,694.22,2,0.1,41.2,5.93,653.02
CA-2025-100053,2025-01-22,CS-1317,Consumer,North,UP,Furniture,Tables,2207.64,8,0.0,536.14,24.29,1671.5
CA-2025-100054,2025-08-23,CS-1123,Home Office,West,Gujarat,Technology,Accessories,2324.28,8,0.2,346.67,14.92,1977.61
CA-2025-100055,2024-11-11,CS-1320,Corporate,West,Rajasthan,Technology,Copiers,2269.66,9,0.0,388.83,17.13,1880.83
CA-2025-100056,2024-01-14,CS-1287,Consumer,West,Goa,Technology,Phones,1811.46,9,0.5,301.98,16.67,1509.48
CA-2025-100057,2024-08-29,CS-1081,Consumer,North,Haryana,Technology,Accessories,758.47,2,0.2,152.1,20.05,606.37
CA-2025-100058,2026-02-15,CS-1495,Corporate,West,Gujarat,Furniture,Chairs,2616.73,7,0.0,178.41,6.82,2438.32
CA-2025-100059,2024-12-11,CS-1457,Corporate,East,Bihar,Office Supplies,Art,2622.49,7,0.0,596.8,22.76,2025.69
CA-2025-100060,2025-07-18,CS-1010,Home Office,North,Punjab,Office Supplies,Paper,232.36,4,0.5,48.38,20.82,183.98
CA-2025-100061,2024-12-05,CS-1008,Home Office,North,UP,Technology,Copiers,1102.14,6,0.0,242.51,22.0,859.63
CA-2025-100062,2024-04-01,CS-1405,Corporate,East,West Bengal,Technology,Copiers,71.27,1,0.0,10.48,14.7,60.79
CA-2025-100063,2025-01-01,CS-1205,Consumer,West,Goa,Technology,Phones,812.67,6,0.5,154.05,18.96,658.62
CA-2025-100064,2025-03-30,CS-1315,Consumer,North,Delhi,Office Supplies,Fasteners,228.81,1,0.0,32.37,14.15,196.44
CA-2025-100065,2025-03-03,CS-1434,Corporate,East,Jharkhand,Furniture,Tables,772.02,5,0.0,58.73,7.61,713.29
CA-2025-100066,2025-05-23,CS-1197,Consumer,East,West Bengal,Office Supplies,Fasteners,158.05,4,0.1,17.45,11.04,140.6
CA-2025-100067,2026-02-14,CS-1198,Consumer,South,Kerala,Office Supplies,Fasteners,2238.64,6,0.2,236.58,10.57,2002.06
CA-2025-100068,2024-02-04,CS-1030,Consumer,West,Gujarat,Furniture,Tables,1226.61,5,0.2,102.06,8.32,1124.55
CA-2025-100069,2024-07-24,CS-1479,Consumer,West,Maharashtra,Technology,Copiers,761.61,5,0.1,74.84,9.83,686.77
CA-2025-100070,2024-03-21,CS-1401,Consumer,East,West Bengal,Furniture,Chairs,270.58,3,0.5,40.51,14.97,230.07
CA-2025-100071,2025-07-15,CS-1459,Consumer,North,Punjab,Furniture,Chairs,407.51,2,0.0,54.79,13.45,352.72
CA-2025-100072,2025-01-22,CS-1020,Corporate,South,Tamil Nadu,Office Supplies,Paper,1426.95,7,0.5,165.29,11.58,1261.66
CA-2025-100073,2024-01-02,CS-1048,Consumer,South,Karnataka,Technology,Phones,904.92,8,0.0,209.35,23.13,695.57
CA-2025-100074,2025-01-24,CS-1457,Consumer,North,Delhi,Office Supplies,Art,1718.68,5,0.2,353.6,20.57,1365.08
CA-2025-100075,2025-07-19,CS-1130,Consumer,South,Karnataka,Technology,Phones,1463.22,9,0.0,73.9,5.05,1389.32
